agent_type,placement_method,game_id,agent_won,turns,agent_hits,player_hits,agent_sunk,player_sunk
random,corners,28,false,94,15,17,3,5
random,corners,29,false,94,16,17,4,5
random,corners,30,false,90,14,17,3,5
random,corners,31,false,78,14,17,3,5
random,corners,32,false,98,16,17,4,5
random,corners,33,false,97,16,17,4,5
random,corners,34,true,89,17,14,5,2
random,corners,35,true,90,17,15,5,3
random,corners,36,false,94,16,17,4,5
random,corners,37,true,97,17,16,5,4
random,corners,38,false,95,15,17,3,5
random,corners,39,true,93,17,15,5,3
random,corners,40,true,96,17,16,5,4
random,corners,41,true,100,17,16,5,4
random,corners,42,true,79,17,15,5,3
random,corners,43,false,94,16,17,4,5
random,corners,44,true,95,17,16,5,4
random,corners,45,true,97,17,15,5,3
random,corners,46,false,99,16,17,4,5
random,corners,47,true,99,17,16,5,4
random,corners,48,false,84,15,17,3,5
random,corners,49,true,85,17,15,5,3
random,corners,50,false,93,15,17,3,5
random,corners,51,false,86,15,17,3,5
random,corners,52,true,92,17,15,5,4
random,corners,53,false,95,15,17,3,5
random,corners,54,true,97,17,16,5,4
random,corners,55,false,83,16,17,4,5
random,corners,56,false,96,16,17,4,5
random,corners,57,true,87,17,15,5,3
random,corners,58,false,84,16,17,4,5
random,corners,59,false,98,15,17,4,5
random,corners,60,false,95,16,17,4,5
random,corners,61,true,84,17,15,5,3
random,corners,62,true,98,17,16,5,4
random,corners,63,false,94,15,17,3,5
random,corners,64,true,92,17,14,5,2
random,corners,65,true,77,17,15,5,3
random,corners,66,false,95,16,17,4,5
random,corners,67,false,95,15,17,3,5
random,corners,68,true,95,17,16,5,4
random,corners,69,false,74,12,17,2,5
random,corners,70,true,91,17,16,5,4
random,corners,71,true,96,17,16,5,4
random,corners,72,false,93,16,17,4,5
random,corners,73,true,98,17,16,5,4
random,corners,74,false,85,15,17,3,5
random,corners,75,false,92,15,17,3,5
random,corners,76,true,95,17,16,5,4
random,corners,77,false,93,16,17,4,5
random,corners,78,false,99,16,17,4,5
random,corners,79,true,85,17,15,5,3
random,corners,80,false,98,16,17,4,5
random,corners,81,true,87,17,13,5,2
random,corners,82,true,100,17,16,5,4
random,corners,83,true,89,17,16,5,4
random,corners,84,true,95,17,16,5,4
random,corners,85,true,98,17,16,5,4
random,corners,86,true,98,17,16,5,4
random,corners,87,true,89,17,16,5,4
random,corners,88,true,95,17,16,5,4
random,corners,89,true,97,17,16,5,4
random,corners,90,false,95,16,17,4,5
random,corners,91,true,98,17,15,5,3
random,corners,92,false,95,15,17,3,5
random,corners,93,true,96,17,16,5,4
random,corners,94,false,97,16,17,4,5
random,corners,95,false,95,16,17,4,5
random,corners,96,true,94,17,15,5,3
random,corners,97,false,91,13,17,2,5
random,corners,98,true,93,17,16,5,4
random,corners,99,true,99,17,16,5,4
random,clustered,0,false,88,15,17,3,5
random,clustered,1,true,90,17,16,5,4
random,clustered,2,false,95,16,17,4,5
random,clustered,3,false,83,13,17,2,5
random,clustered,4,true,100,17,16,5,4
random,clustered,5,false,94,14,17,2,5
random,clustered,6,true,100,17,16,5,4
random,clustered,7,true,99,17,16,5,4
random,clustered,8,false,91,16,17,4,5
random,clustered,9,true,94,17,15,5,3
random,clustered,10,false,93,15,17,3,5
random,clustered,11,false,90,16,17,4,5
random,clustered,12,true,87,17,15,5,3
random,clustered,13,true,95,17,16,5,4
random,clustered,14,false,93,16,17,4,5
random,clustered,15,false,95,16,17,4,5
random,clustered,16,true,91,17,15,5,4
random,clustered,17,true,96,17,16,5,4
random,clustered,18,false,90,15,17,3,5
random,clustered,19,true,98,17,15,5,4
random,clustered,20,false,94,16,17,4,5
random,clustered,21,true,97,17,16,5,4
random,clustered,22,false,88,14,17,3,5
random,clustered,23,true,98,17,16,5,4
random,clustered,24,false,99,16,17,4,5
random,clustered,25,true,91,17,15,5,3
random,clustered,26,true,84,17,12,5,1
random,clustered,27,false,95,16,17,4,5
random,clustered,28,false,99,16,17,4,5
random,clustered,29,true,97,17,16,5,4
random,clustered,30,true,96,17,15,5,3
random,clustered,31,false,95,16,17,4,5
random,clustered,32,false,96,16,17,4,5
random,clustered,33,true,92,17,15,5,3
random,clustered,34,false,87,14,17,2,5
random,clustered,35,true,93,17,16,5,4
random,clustered,36,true,91,17,15,5,3
random,clustered,37,true,97,17,16,5,4
random,clustered,38,false,90,14,17,2,5
random,clustered,39,true,94,17,16,5,4
random,clustered,40,false,98,16,17,4,5
random,clustered,41,true,98,17,16,5,4
random,clustered,42,false,95,16,17,4,5
random,clustered,43,false,90,16,17,4,5
random,clustered,44,true,98,17,16,5,4
random,clustered,45,false,86,15,17,3,5
random,clustered,46,true,96,17,16,5,4
random,clustered,47,false,98,16,17,4,5
random,clustered,48,true,91,17,15,5,4
random,clustered,49,true,91,17,16,5,4
