game,agent_won,player_won,agent_sunk,player_sunk,agent_hit,player_hit,turns
564,false,false,5,4,17,14,92
565,false,false,5,4,17,15,73
566,false,true,4,5,14,17,66
567,false,false,5,3,17,13,87
568,false,false,5,1,17,5,40
569,false,false,5,4,17,15,97
570,false,true,4,5,12,17,96
571,false,true,3,5,11,17,68
572,false,true,4,5,14,17,78
573,false,false,5,3,17,12,79
574,false,false,5,4,17,14,95
575,false,true,4,5,15,17,89
576,false,true,3,5,12,17,52
577,false,true,3,5,12,17,76
578,false,true,4,5,15,17,79
579,false,true,4,5,15,17,106
580,false,false,5,4,17,15,78
581,false,false,5,4,17,15,92
582,false,true,4,5,16,17,99
583,false,false,5,1,17,5,53
584,false,true,4,5,14,17,77
585,false,true,4,5,15,17,122
586,false,true,4,5,15,17,120
587,false,false,5,2,17,9,45
588,false,false,5,4,17,16,81
589,false,true,3,5,13,17,60
590,false,true,4,5,16,17,71
591,false,false,5,3,17,13,78
592,false,false,5,4,17,15,84
593,false,true,2,5,8,17,71
594,false,true,3,5,12,17,62
595,false,false,5,4,17,14,67
596,false,true,3,5,11,17,55
597,false,true,4,5,15,17,66
598,false,false,5,4,17,15,93
599,false,false,5,4,17,16,94
600,false,true,4,5,15,17,90
601,false,true,4,5,14,17,80
602,false,true,4,5,15,17,101
603,false,false,5,2,17,7,42
604,false,true,3,5,12,17,76
605,false,true,3,5,12,17,70
606,false,false,5,1,17,6,49
607,false,true,4,5,15,17,83
608,false,true,3,5,10,17,71
609,false,false,5,4,17,14,85
610,false,false,5,4,17,14,96
611,false,false,5,4,17,14,91
612,false,false,5,4,17,15,104
613,false,true,4,5,15,17,92
614,false,true,2,5,9,17,49
615,false,false,5,4,17,15,77
616,false,true,3,5,13,17,72
617,false,true,4,5,14,17,90
618,false,true,4,5,15,17,78
619,false,false,5,4,17,15,144
620,false,false,5,4,17,15,74
621,false,true,4,5,15,17,86
622,false,true,4,5,15,17,69
623,false,false,5,3,17,12,59
624,false,false,5,3,17,10,58
625,false,false,5,3,17,13,76
626,false,false,5,2,17,11,64
627,false,true,4,5,15,17,80
628,false,true,4,5,16,17,96
629,false,false,5,4,17,15,100
630,false,false,5,2,17,9,44
631,false,true,4,5,14,17,68
632,false,false,5,3,17,13,86
633,false,false,5,1,17,6,60
634,false,false,5,4,17,15,105
635,false,true,4,5,14,17,99
636,false,true,4,5,14,17,73
637,false,false,5,4,17,16,95
638,false,false,5,4,17,15,75
639,false,false,5,4,17,14,59
640,false,true,4,5,15,17,111
641,false,false,5,4,17,15,92
642,false,false,5,4,17,15,92
643,false,false,5,2,17,10,69
644,false,true,4,5,15,17,85
645,false,false,5,4,17,14,67
646,false,true,4,5,15,17,109
647,false,true,3,5,11,17,48
648,false,true,2,5,11,17,80
649,false,false,5,3,17,11,75
650,false,false,5,1,17,8,55
651,false,true,4,5,15,17,95
652,false,true,4,5,15,17,94
653,false,false,5,1,17,5,50
654,false,true,3,5,11,17,71
655,false,false,5,4,17,15,82
656,false,false,5,4,17,15,56
657,false,false,5,4,17,15,84
658,false,true,4,5,15,17,100
659,false,false,5,4,17,15,104
660,false,true,4,5,15,17,84
661,false,true,4,5,14,17,68
662,false,true,3,5,12,17,56
663,false,false,5,3,17,14,80
664,false,false,5,1,17,7,66
665,false,false,5,4,17,15,111
666,false,false,5,2,17,10,66
667,false,true,4,5,15,17,95
668,false,true,4,5,16,17,88
669,false,false,5,2,17,11,73
670,false,true,4,5,15,17,106
671,false,false,5,4,17,15,75
672,false,true,4,5,15,17,91
673,false,false,5,2,17,9,69
674,false,false,5,4,17,15,93
675,false,true,4,5,15,17,60
676,false,true,4,5,14,17,62
677,false,false,5,3,17,12,90
678,false,true,4,5,14,17,95
679,false,true,4,5,15,17,107
680,false,true,4,5,15,17,136
681,false,false,5,3,17,12,63
682,false,false,5,4,17,15,86
683,false,true,3,5,13,17,72
684,false,true,4,5,15,17,89
685,false,true,4,5,14,17,56
686,false,true,2,5,9,17,63
687,false,true,3,5,14,17,90
688,false,true,4,5,16,17,62
689,false,true,3,5,13,17,101
690,false,true,4,5,14,17,50
691,false,false,5,4,17,15,97
692,false,true,2,5,9,17,60
693,false,true,4,5,14,17,78
694,false,false,5,3,17,14,67
695,false,true,4,5,15,17,100
696,false,false,5,3,17,10,69
697,false,false,5,4,17,16,111
698,false,false,5,4,17,15,69
699,false,false,5,4,17,15,92
700,false,true,3,5,12,17,83
701,false,false,5,2,17,11,52
702,false,false,5,3,17,11,64
703,false,true,4,5,14,17,85
704,false,false,5,4,17,15,114
705,false,true,4,5,16,17,95
706,false,false,5,3,17,12,77
707,false,false,5,4,17,15,99
708,false,true,4,5,15,17,91
709,false,true,4,5,15,17,106
710,false,false,5,3,17,14,83
711,false,false,5,1,17,6,48
712,false,false,5,3,17,12,74
713,false,false,5,4,17,14,103
714,false,true,3,5,12,17,53
715,false,false,5,3,17,11,79
716,false,true,4,5,16,17,62
717,false,true,3,5,12,17,72
718,false,true,4,5,15,17,103
719,false,false,5,4,17,16,96
720,false,false,5,3,17,12,76
721,false,true,4,5,15,17,101
722,false,false,5,3,17,9,63
723,false,true,3,5,12,17,72
724,false,false,5,4,17,15,111
725,false,true,4,5,15,17,115
726,false,false,5,4,17,14,81
727,false,false,5,4,17,15,85
728,false,false,5,4,17,16,87
729,false,true,4,5,15,17,97
730,false,false,5,1,17,6,62
731,false,true,4,5,15,17,86
732,false,true,4,5,14,17,106
733,false,false,5,4,17,15,72
734,false,false,5,4,17,14,87
735,false,true,2,5,9,17,49
736,false,false,5,2,17,10,64
737,false,true,3,5,12,17,93
738,false,true,4,5,13,17,101
739,false,false,5,3,17,13,73
740,false,false,5,3,17,14,61
741,false,false,5,1,17,4,50
742,false,false,5,4,17,15,94
743,false,true,0,5,1,17,53
744,false,false,5,2,17,8,56
745,false,true,4,5,14,17,101
746,false,true,4,5,15,17,94
747,false,false,5,2,17,9,59
748,false,true,2,5,6,17,47
749,false,true,2,5,7,17,64
750,false,true,3,5,13,17,86
751,false,true,4,5,14,17,109
752,false,true,4,5,15,17,92
753,false,true,4,5,15,17,88
754,false,true,4,5,14,17,55
755,false,true,3,5,13,17,81
756,false,true,3,5,13,17,72
757,false,true,4,5,14,17,94
758,false,true,4,5,16,17,105
759,false,false,5,4,17,16,103
760,false,true,4,5,14,17,90
761,false,false,5,3,17,12,60
762,false,false,5,4,17,15,77
763,false,true,4,5,15,17,71
764,false,true,4,5,15,17,92
765,false,true,3,5,12,17,62
766,false,true,4,5,15,17,69
767,false,false,5,3,17,13,78
768,false,false,5,2,17,11,79
769,false,true,4,5,15,17,93
770,false,true,4,5,15,17,80
771,false,false,5,4,17,15,94
772,false,true,3,5,9,17,86
773,false,true,2,5,9,17,68
774,false,false,5,4,17,16,71
775,false,false,5,2,17,13,72
776,false,false,5,3,17,12,94
777,false,true,2,5,9,17,58
778,false,true,3,5,12,17,55
779,false,false,5,3,17,12,103
780,false,true,4,5,14,17,58
781,false,false,5,3,17,13,78
782,false,true,4,5,14,17,87
783,false,false,5,4,17,14,114
784,false,true,4,5,12,17,79
785,false,false,5,3,17,14,75
786,false,true,4,5,15,17,97
787,false,true,4,5,14,17,73
788,false,false,5,3,17,10,71
789,false,false,5,4,17,16,102
790,false,true,4,5,15,17,83
791,false,true,4,5,14,17,77
792,false,false,5,2,17,10,59
793,false,true,3,5,14,17,74
794,false,true,2,5,11,17,76
795,false,true,4,5,15,17,88
796,false,false,5,4,17,15,63
797,false,true,4,5,15,17,96
798,false,false,5,4,17,15,84
799,false,true,3,5,12,17,75
800,false,false,5,4,17,14,85
801,false,true,4,5,15,17,61
802,false,false,5,3,17,13,57
803,false,true,3,5,13,17,58
804,false,false,5,3,17,10,68
805,false,false,5,3,17,12,60
806,false,false,5,3,17,14,57
807,false,true,4,5,14,17,81
808,false,false,5,4,17,15,115
809,false,true,4,5,14,17,90
810,false,false,5,4,17,16,70
811,false,true,4,5,15,17,102
812,false,true,3,5,12,17,50
813,false,true,4,5,15,17,105
814,false,true,4,5,14,17,103
815,false,false,5,4,17,14,85
816,false,false,5,2,17,10,46
817,false,true,4,5,15,17,99
818,false,true,2,5,9,17,59
819,false,true,3,5,12,17,56
820,false,false,5,3,17,12,58
821,false,false,5,3,17,12,74
822,false,true,4,5,13,17,71
823,false,true,4,5,14,17,120
824,false,true,4,5,16,17,93
825,false,true,4,5,13,17,65
826,false,true,4,5,15,17,85
827,false,false,5,4,17,15,61
828,false,true,4,5,15,17,127
829,false,false,5,4,17,15,77
830,false,false,5,1,17,5,46
831,false,false,5,4,17,14,82
832,false,true,4,5,13,17,55
833,false,true,4,5,15,17,86
834,false,false,5,2,17,9,60
835,false,true,0,5,0,17,43
836,false,false,5,3,17,12,86
837,false,true,4,5,16,17,86
838,false,false,5,4,17,13,82
839,false,false,5,4,17,14,68
840,false,true,4,5,15,17,68
841,false,false,5,2,17,10,62
842,false,false,5,2,17,9,61
843,false,true,4,5,16,17,65
844,false,true,3,5,13,17,86
845,false,true,4,5,14,17,89
846,false,true,4,5,15,17,121
847,false,false,5,4,17,15,107
848,false,true,3,5,11,17,86
849,false,true,4,5,14,17,86
850,false,true,4,5,15,17,89
851,false,true,4,5,15,17,101
852,false,true,4,5,15,17,102
853,false,false,5,3,17,9,59
854,false,true,3,5,12,17,63
855,false,false,5,3,17,11,80
856,false,true,4,5,14,17,87
